,oil_g,trd_g,d_rrate,rfx_g,gpr_l,lab_g
MFG_COKE,-0.22432680449540812,0.1923448055494941,-2.058674317741103,-0.329854070605102,-0.022064886187927738,-0.9920139150565832
MFG_FOOD,0.016081820500276896,0.19079737143342326,0.5997274893030246,-0.002652510725766037,-0.005776916612427722,-0.2972750293495466
MFG_FURN,0.010915826857152791,0.10361161302469307,0.20605331684217412,-0.05518809009122267,-0.005500380554402977,-0.05474541147996726
MFG_LEATHER,0.037167263365570136,0.12087840329104371,0.42539737556995016,-0.042050257761504256,-0.003871089383218761,-0.08816505180668241
MFG_MACH,0.03210004174748303,0.1458481452148846,0.48013770144038176,-0.1596772861083916,-0.006572951081653773,-0.17537686665777513
MFG_METAL,0.03091730498319859,0.003806193210987211,-0.30681185633206076,-0.09042397149166309,0.007866040571263624,0.19474887661617907
MFG_NONMET,0.017904902562245358,0.07449809476185204,-0.07061454322109455,-0.09797488208877864,0.0002625244274831353,0.4950095642570776
MFG_OTH,0.017760522046497362,0.04788629273227283,0.2559807765329849,-0.084159640145739,-0.004521963532223605,-0.03815261225638959
MFG_OTRANS,0.041223417891591875,0.18296638089517386,-0.11078242238052283,-0.1723235616547683,-0.01718485851107344,0.03322339646595938
MFG_PAPER,0.004603254852796642,0.1880321039125533,0.14691429148099458,-0.07187448384964872,-0.005552935883498533,0.0547850662056643
MFG_PREC,0.010332640234115351,0.10380928738292715,-0.17846364478705443,-0.010525757772789779,0.016997937391083587,-0.45800113726831043
MFG_PRINT,0.007464134735206028,0.10762770458401197,0.07718887010416235,-0.0853871510034634,-0.004005155840214962,-0.04861420189696478
MFG_REP,0.0183284643005588,0.04427748727278899,0.24262894811096142,-0.08672741081615114,-0.0042563383456188765,-0.05001012823977283
MFG_STEEL,-0.0008644295800740767,0.1656630923575721,0.02242299436460756,-0.24856458403054726,0.005936386874144741,0.27738246068820527
MFG_TEX,0.03884152311135776,0.13187464034305257,0.588002853543706,-0.06599283520490967,-0.006064002948259586,-0.12640238108138785
MFG_TOB,0.018755625305009235,0.08644983123153138,0.48710568577329183,0.03200719718240621,-0.004915180963968124,0.08940002435420513
MFG_WOOD,0.008345590398058877,0.10336516078898733,0.04295685682971997,-0.0692089057430758,-0.003539472967479147,0.09997131846879348
MIN_COAL,-0.04263367493121598,0.05252896706579525,-0.2154988960329491,-0.07325354406686857,-0.011242654484993474,0.3802534275962104
MIN_MET,-0.04057653296136773,0.0064017884017285465,-0.3984580549603909,-0.08812597137589247,-0.006849609845632406,0.4126782891965689
MIN_NONMET,-0.0431356468837075,0.02327465010672741,-0.37433891795483276,-0.07918488532071065,-0.0069768255893377885,0.4086454020354259
PER_ASSOC,-0.0003831034643720556,0.03977427052097367,0.2485806232702267,-0.035344162341327326,-0.0021230494419113336,0.02273904151538143
PER_OTH,-5.0584849447728095e-05,0.03850861414905285,0.2511806222512098,-0.03459194149826158,-0.0020844101780889165,0.06064171614083624
PER_REP,-0.00047637923564922943,0.046041095168139534,0.2701662467839362,-0.032843222151811444,-0.002163161529234672,0.043207656829090814
PRO_ENG,-0.0009054986582790685,0.018545249473850615,0.09295807437378825,-0.005726398280376859,-4.152094707989303e-05,0.08618437154919957
PRO_ETC,-0.0013724422858334931,0.019528885653351775,0.08249150587856302,-0.00869190160783335,0.0001807170375898175,0.03380411852478636
PRO_PRO,-0.001899168112683124,0.01874151983647788,0.07807505291319877,-0.009217393669837256,-5.639969719385489e-05,0.028622083450128732
PRO_RND,-0.0014148722078318342,0.020190023428660542,0.0823172478809995,-0.008548206662026832,0.0003114112842059149,0.02475429708580721
PUB,-0.0016397517205930772,-0.0015095232712545718,0.014645537885052327,-0.0036140273177115686,1.4979801895421855e-05,-0.0007590862631290592
RE,-0.0008338569194631117,0.019522127249108564,0.012520826670340693,-0.03332108968301654,-0.002183884416436165,-0.11755030546161355
TRN_AIR,0.0033637133546722086,0.03754135812908987,0.08409772436368333,-0.048277455813562596,-0.0028436912025027513,0.28710522099810715
TRN_LAND,-0.00479517132363121,0.11854850421189447,0.07556382532226595,-0.02341490123240323,-0.0029778179495992337,0.3103942922878678
TRN_SEA,0.0012622131626068356,0.09889289034110343,0.207107817108016,-0.007280742268017465,-0.0063768072138578455,0.18207500583859543
TRN_WARE,-0.00496555125768465,0.10942977887673158,0.12124072099653666,-0.04401712536040888,-0.0041430033302119,-0.10748377318054975
UTL_SEW,0.013549829309095873,0.025345070779922985,0.1194429543279492,-0.08088276507437488,0.002018367471015286,0.22397449822453383
UTL_WASTE,0.014437800000926034,0.0382367725233841,0.1587860816225696,-0.06018443694088785,0.001247523872267569,0.21647914448254119
