scenario,date,point,p5,p15,p50,p85,p95
S3,2028-05-01,107.47,104.12,105.7,108.67,111.54,113.05
S3,2028-06-01,107.92,104.57,106.16,109.21,112.27,113.85
S3,2028-07-01,108.25,104.81,106.54,109.53,112.44,114.04
S3,2028-08-01,108.58,105.32,106.92,109.97,112.73,114.32
S3,2028-09-01,109.04,106.08,107.45,110.42,113.42,115.26
S3,2028-10-01,109.42,106.5,107.74,110.85,113.88,115.54
S3,2028-11-01,109.78,106.86,108.03,111.0,114.38,116.05
S3,2028-12-01,110.22,106.93,108.52,111.58,114.86,116.67
S3,2029-01-01,110.59,107.23,108.87,112.1,115.32,116.94
S3,2029-02-01,110.95,107.55,109.21,112.23,115.58,117.46
S3,2029-03-01,111.4,107.91,109.6,112.85,116.26,118.19
S3,2029-04-01,111.8,108.35,110.18,113.25,116.66,118.61
S3,2029-05-01,112.18,108.28,110.6,113.6,117.05,119.23
S3,2029-06-01,112.61,108.86,110.62,114.32,118.01,119.77
S3,2029-07-01,113.0,109.41,111.22,114.62,118.42,120.47
S3,2029-08-01,113.39,109.79,111.42,115.0,119.26,121.07
S3,2029-09-01,113.83,110.08,111.8,115.56,119.59,121.72
S3,2029-10-01,114.25,110.33,112.27,115.99,119.69,122.51
S3,2029-11-01,114.65,110.55,112.62,116.47,120.59,122.99
S3,2029-12-01,115.08,111.0,113.37,116.81,120.65,123.75
S3,2030-01-01,115.5,111.62,113.6,117.23,121.31,124.35
S3,2030-02-01,115.91,111.5,113.93,117.57,122.2,124.82
S3,2030-03-01,116.35,112.09,114.48,117.97,122.37,125.97
S3,2030-04-01,116.78,112.44,114.82,118.29,122.84,125.8
S3,2030-05-01,117.2,112.93,115.36,119.08,123.54,126.6
S3,2030-06-01,117.64,113.37,115.67,119.69,124.38,127.21
S3,2030-07-01,118.07,113.75,116.09,120.21,124.81,128.08
S3,2030-08-01,118.5,114.3,116.57,120.71,125.67,128.69
S3,2030-09-01,118.95,114.06,116.86,121.03,126.02,129.74
S3,2030-10-01,119.39,114.62,117.26,121.62,126.57,130.34
S3,2030-11-01,119.83,115.23,117.82,121.92,126.96,130.86
S3,2030-12-01,120.28,115.93,118.15,122.47,128.26,131.38
S3,2031-01-01,120.73,115.99,118.56,122.88,128.75,131.9
S3,2031-02-01,121.18,116.16,118.79,123.35,129.4,132.47
S3,2031-03-01,121.64,116.72,119.64,123.87,130.01,133.33
S3,2031-04-01,122.1,117.25,119.83,124.27,130.4,134.15
S3,2031-05-01,122.55,117.74,120.06,124.71,131.08,134.65
S3,2031-06-01,123.02,118.45,120.61,125.05,131.53,135.08
S3,2031-07-01,123.48,118.65,121.18,126.0,132.51,135.67
S3,2031-08-01,123.95,119.23,121.84,126.47,133.04,136.67
S3,2031-09-01,124.42,119.51,121.99,127.05,133.51,137.49
S3,2031-10-01,124.9,119.89,122.41,127.74,134.44,138.09
S3,2031-11-01,125.37,120.73,122.89,128.26,134.67,138.57
S3,2031-12-01,125.85,120.49,123.36,128.84,135.18,139.5
S3,2032-01-01,126.33,121.51,123.58,129.24,136.16,139.97
S3,2032-02-01,126.81,121.75,124.0,129.69,136.31,140.75
S3,2032-03-01,127.3,121.61,124.55,130.3,137.42,141.21
S3,2032-04-01,127.79,122.47,125.33,130.93,137.78,142.52
S3,2032-05-01,128.28,122.91,125.82,131.57,138.35,143.5
S3,2032-06-01,128.77,123.18,126.11,131.9,138.72,144.75
S3,2032-07-01,129.27,123.8,126.5,132.77,139.94,145.79
S3,2032-08-01,129.77,123.82,127.13,133.14,140.08,147.04
S3,2032-09-01,130.28,124.32,127.78,133.62,140.9,146.57
S3,2032-10-01,130.78,124.98,128.09,134.33,141.26,147.37
S3,2032-11-01,131.29,125.35,128.41,134.38,142.27,148.65
S3,2032-12-01,131.8,126.14,129.0,135.16,143.02,149.65
S3,2033-01-01,132.32,126.47,129.41,135.67,144.04,149.69
S3,2033-02-01,132.83,126.7,129.82,136.26,144.39,151.29
S3,2033-03-01,133.36,127.27,130.49,136.85,144.53,152.84
S3,2033-04-01,133.88,127.61,130.73,137.37,145.55,153.3
S3,2033-05-01,134.41,128.69,131.06,137.95,146.15,153.8
S3,2033-06-01,134.94,128.64,131.75,138.73,147.2,155.15
S3,2033-07-01,135.47,129.55,132.15,139.39,147.79,155.05
S3,2033-08-01,136.0,129.6,132.72,139.6,148.64,156.58
S3,2033-09-01,136.54,130.04,133.11,140.52,149.18,157.46
S3,2033-10-01,137.09,130.69,133.85,141.23,150.71,157.99
S3,2033-11-01,137.63,131.32,134.27,141.8,150.85,158.73
S3,2033-12-01,138.18,131.85,134.64,141.93,151.39,158.58
S3,2034-01-01,138.73,132.2,135.25,142.86,152.9,160.22
S3,2034-02-01,139.29,132.64,136.1,143.72,153.47,161.38
S3,2034-03-01,139.84,133.39,136.36,144.4,154.3,162.35
S3,2034-04-01,140.4,133.49,136.82,144.89,154.89,162.34
S3,2034-05-01,140.97,134.18,138.06,145.82,156.17,162.06
S3,2034-06-01,141.54,134.43,138.19,146.05,157.02,163.95
S3,2034-07-01,142.11,135.0,138.71,146.49,157.63,162.95
S3,2034-08-01,142.68,136.13,139.9,147.62,157.78,165.61
S3,2034-09-01,143.26,135.92,140.14,148.33,159.04,165.91
S3,2034-10-01,143.84,136.35,140.63,149.2,160.57,167.16
S3,2034-11-01,144.43,137.12,141.09,150.05,160.99,168.38
S3,2034-12-01,145.02,138.15,141.56,150.54,162.05,169.52
S3,2035-01-01,145.61,138.5,141.98,151.13,162.44,170.69
S3,2035-02-01,146.2,138.65,142.34,151.98,162.98,172.43
S3,2035-03-01,146.8,139.29,142.92,152.41,163.56,173.87
S3,2035-04-01,147.4,140.5,143.97,152.87,164.17,173.41
S3,2035-05-01,148.01,141.6,144.11,153.63,165.49,174.71
S3,2035-06-01,148.62,141.4,145.59,153.95,166.41,176.15
S3,2035-07-01,149.23,142.03,145.79,155.02,167.3,176.44
S3,2035-08-01,149.85,142.32,146.22,155.54,168.38,177.24
S3,2035-09-01,150.47,143.14,147.03,156.18,169.14,177.76
S3,2035-10-01,151.1,143.41,147.37,156.86,170.58,179.81
S3,2035-11-01,151.73,143.81,147.96,158.04,170.72,181.01
S3,2035-12-01,152.36,144.31,149.09,158.46,171.62,181.14
S4,2026-01-01,97.43,96.78,96.99,97.49,97.98,98.25
S4,2026-02-01,97.15,96.16,96.55,97.27,97.93,98.35
S4,2026-03-01,98.54,97.39,97.89,98.66,99.43,99.92
S4,2026-04-01,98.48,97.19,97.65,98.64,99.58,100.07
S4,2026-05-01,99.06,97.55,98.15,99.17,100.28,101.02
S4,2026-06-01,99.85,97.96,98.9,100.07,101.19,101.86
S4,2026-07-01,99.86,98.08,98.97,100.16,101.48,102.29
S4,2026-08-01,99.82,97.91,98.89,100.1,101.56,102.25
S4,2026-09-01,100.61,98.63,99.54,101.15,102.47,103.27
S4,2026-10-01,100.76,98.71,99.77,101.24,102.83,103.61
S4,2026-11-01,100.96,98.85,99.79,101.52,103.1,104.16
S4,2026-12-01,101.85,99.9,100.8,102.38,104.24,105.1
S4,2027-01-01,101.91,99.71,100.84,102.55,104.38,105.39
S4,2027-02-01,102.04,100.0,101.04,102.73,104.5,105.47
