date,ind_id,logva,va_level,va_growth
2012-04-01,MIN2,4.723187073717229,112.52631143455669,-13.980455000766945
2012-05-01,MIN2,4.6989106114661965,109.82746248030438,-2.4276462251032527
2012-06-01,MIN2,4.751514563859052,115.75947694376866,5.260395239285565
2012-07-01,MIN2,4.730412774961236,113.34233757317314,-2.110178889781622
2012-08-01,MIN2,4.67540301205259,107.2757918184706,-5.500976290864568
2012-09-01,MIN2,4.5568771894300015,95.28545630663265,-11.85258226225887
2012-10-01,MIN2,4.6570630323865005,105.32628755558845,10.018584295649902
2012-11-01,MIN2,4.478224781494794,88.07817580108944,-17.883825089170635
2012-12-01,MIN2,4.642744487730901,103.82891409085394,16.451970623610723
2013-01-01,MIN2,4.64190296806724,103.74157677117982,-0.08415196636617495
2013-02-01,MIN2,4.486599204632808,88.81887685767059,-15.530376343443208
2013-03-01,MIN2,4.691123156835198,108.97550768418569,20.452395220239072
2013-04-01,MIN2,4.649007346464107,104.48122043131973,-4.211581037109102
2013-05-01,MIN2,4.670460187358248,106.74685468422386,2.145284089414101
2013-06-01,MIN2,4.771526682946669,118.09940474719,10.10664955884204
2013-07-01,MIN2,4.732640051333058,113.59506362448214,-3.8886631613610945
2013-08-01,MIN2,4.664986879302574,106.16419226459269,-6.765317203048404
2013-09-01,MIN2,4.604741454758193,99.95713606622022,-6.024542454438109
2013-10-01,MIN2,4.802338936113355,121.79495525048993,19.759748135516197
2013-11-01,MIN2,4.726082851751304,112.85263490760407,-7.625608436205056
2013-12-01,MIN2,4.681786204209239,107.96274395264666,-4.4296647542065415
2014-01-01,MIN2,4.809949881520848,122.72546654939121,12.816367731160927
2014-02-01,MIN2,4.718006450246539,111.94486241912857,-9.194343127430926
2014-03-01,MIN2,4.898475503789757,134.0852113961415,18.04690535432183
2014-04-01,MIN2,4.938594936676695,139.57400141148096,4.0119432886937645
2014-05-01,MIN2,4.830155522755856,125.23043532276736,-10.843941392083867
2014-06-01,MIN2,4.896254795261233,133.78777760275997,6.609927250537684
2014-07-01,MIN2,4.8831061241713964,132.04016071739062,-1.3148671089836306
2014-08-01,MIN2,4.699019025840519,109.83937000139414,-18.408709833087755
2014-09-01,MIN2,4.778379267313851,118.91147007728866,7.936024147333232
2014-10-01,MIN2,4.783280437665411,119.4957059992647,0.49011703515597915
2014-11-01,MIN2,4.731049500017894,113.41452845992048,-5.223093764751674
2014-12-01,MIN2,4.782543214558545,119.40764346848549,5.149371454065044
2015-01-01,MIN2,4.622224716303645,101.72007890929274,-16.031849825489974
2015-02-01,MIN2,4.506373421554424,90.59268058627461,-11.585129474922073
